,total_loan_costs,derived_dwelling_category,derived_ethnicity,applicant_race_1,applicant_sex,loan_type,loan_purpose,loan_amount,interest_rate,total_loan_costs,loan_term,property_value,occupancy_type,applicant_age,income,denial_reason_1
447,16125.58,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,845000,5.999,16125.58,360,935000,1,35-44,280,10
448,14321.38,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,3,1,245000,3.625,14321.38,360,315000,1,25-34,86,10
449,24118.33,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,1,635000,5.374,24118.33,360,675000,1,35-44,130,10
452,4943.1,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,105000,4.875,4943.1,360,125000,1,55-64,35,10
453,2916,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,145000,5.499,2916,360,185000,1,<25,37,10
454,8174.72,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,1,1,465000,4.999,8174.72,360,585000,1,35-44,145,10
455,2589.8,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,32,295000,4.999,2589.8,360,995000,1,>74,216,10
456,9407.43,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,3,32,455000,3.999,9407.43,360,565000,1,35-44,107,10
458,8010.73,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,31,295000,5.125,8010.73,360,805000,1,45-54,78,10
459,11943.28,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,545000,5.125,11943.28,360,575000,1,35-44,217,10
461,12276.36,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,2,1,205000,5.625,12276.36,360,215000,1,25-34,62,10
464,20562.38,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,2,32,415000,4.499,20562.38,360,535000,1,45-54,96,10
